C,Cr,Ni,Mo,Mn,V,Nb,Si,W,Ta,N,Al,CO(wt%),TOL(μm)
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,69
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,8
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,17
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,16
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,39
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,31
0.09,8.48,0.02,0.93,0.53,0.19,0.09,0.48,0,0,0.04,0.02,0,74
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04,7
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04,14
0.09,8.2,0.06,0.93,0.39,0.2,0.07,0.31,0,0,0.44,0.05,3.14E-04,15
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04,28
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04,31
0.12,8.91,0.043,0,0.35,0.2,0,0.066,1.47,0.14,0.0084,0.027,3.14E-04,56
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06,3.95
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06,4.65
0.091,8.93,0.01,0.01,0.49,0.15,0.01,0.15,1.51,0.15,0,0.01,1.00E-06,5.28
0.1,8.99,0.11,0.89,0.38,0.21,0.06,0.22,0,0,0,0,0,3.26
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06,4.06
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06,5.39
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06,6.81
0.12,8.5,0,0,0.3,0.3,0,0,2,0.1,0,0,1.00E-06,15.31
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06,12.76
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06,33
0.12,8.6,0,0,0.4,0.2,0,0.7,2.5,0.1,0,0,1.00E-06,7.34
