Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
0.9706,8,3.7235,3.9087,121.245,No
0.9745,8,3.7274,3.91,121.435,No
0.9765,8,3.7293,3.9106,121.53,Yes
0.9784,8,3.7313,3.9113,121.625,Yes
0.9804,8,3.7332,3.9119,121.72,Yes
0.9823,8,3.7352,3.9125,121.815,Yes
0.9843,8,3.7371,3.9131,121.91,Yes
0.9862,8,3.7391,3.9138,122.005,Yes
1.0163,8.5,3.773,3.9258,125.85,Yes
1.0053,9,3.766,3.9245,127.7,Yes
0.9944,9.5,3.759,3.9233,129.55,Yes
0.9835,10,3.752,3.922,131.4,No
0.9725,10.5,3.745,3.9208,133.25,No
0.9616,11,3.738,3.9195,135.1,No
1.0179,7.999,3.7708,3.9202,126.307,Yes
1.0086,7.998,3.7615,3.9134,128.614,Yes
0.9993,7.997,3.7523,3.9066,130.921,Yes
0.99,7.996,3.743,3.8998,133.228,No
0.9807,7.995,3.7338,3.893,135.535,No
0.9807,7.995,3.7338,3.893,135.535,No
1.0173,8.669,3.7795,3.9209,126.374,Yes
1.0074,9.338,3.7789,3.9149,128.748,Yes
0.9975,10.007,3.7784,3.9088,131.122,Yes
0.9876,10.676,3.7779,3.9027,133.496,No
0.9777,11.345,3.7774,3.8967,135.87,No
0.9777,11.345,3.7774,3.8967,135.87,No
1.0108,8,3.736,3.9384,124.3,Yes
0.9781,8,3.648,3.9612,124.9,No
0.957,8,3.7388,3.9504,126.75,Yes
0.9582,8,3.7395,3.95,126.7,Yes
0.9595,8,3.7403,3.9495,126.65,Yes
0.9608,8,3.741,3.9491,126.6,Yes
0.9621,8,3.7418,3.9487,126.55,Yes
0.9634,8,3.7425,3.9483,126.5,Yes
1.0156,8,3.766,3.9286,121.3,Yes
1.004,8,3.752,3.9302,118.6,Yes
0.9924,8,3.738,3.9318,115.9,Yes
0.9808,8,3.724,3.9334,113.2,Yes
0.9693,8,3.71,3.935,110.5,No
0.9577,8,3.696,3.9366,107.8,No
0.9461,8,3.682,3.9382,105.1,No
0.9345,8,3.668,3.9398,102.4,No
0.9229,8,3.654,3.9414,99.7,No
0.965,8,3.7334,3.9445,122.02,No
0.9862,8,3.7956,3.8773,139.174,No
0.9944,8,3.7925,3.8873,136.1392,No
0.9841,8,3.7451,3.9384,121.494,Yes
0.9815,8,3.754,3.9088,124.36,No
0.9857,8,3.7499,3.939,123.0808,Yes
0.9881,8,3.7527,3.9386,123.637,Yes
0.9917,8,3.7571,3.9382,124.4713,Yes
0.9831,8,3.7505,3.9406,124.15,Yes
0.9854,8,3.7533,3.9402,124.69,Yes
0.9889,8,3.7575,3.9398,125.5,Yes
0.9808,8,3.7477,3.9409,123.61,Yes
0.9887,8,3.7493,3.9373,121.9814,Yes
0.9943,8,3.7482,3.934,119.8155,Yes
0.9899,8,3.7428,3.9346,118.7814,Yes
0.9854,8,3.7375,3.9353,117.75,Yes
0.9831,8,3.7347,3.9356,117.21,Yes
0.9812,11.689,3.8105,3.8481,136.467,No
1.0057,8,3.7715,3.9152,125.5975,Yes
1.0162,9.176,3.7948,3.8905,127.928,Yes
0.9842,8.38,3.7369,3.926,116.544,Yes
