ba,ca,sr,cd,ti,zr,sn,hf,Storage.E
87,13,0,0,91,4,5,0,39.91461358
85,15,0,0,90,7,3,0,30.20857913
92,8,0,0,91,1,8,0,42.87802509
85,15,0,0,91,5,4,0,52.90631456
84,16,0,0,89,7,4,0,53.66696454
84,16,0,0,90,7,3,0,48.58838004
76,8,16,0,85,6,9,0,50.95019219
84,16,0,0,90,6,4,0,40.65412485
85,15,0,0,87,6,7,0,38.61942248
83,17,0,0,90,7,3,0,53.20243872
74,11,15,0,92,3,5,0,34.49115338
84,15,1,0,90,7,3,0,28.70925775
83,17,0,0,90,3,7,0,47.49761965
84,16,0,0,90,8,2,0,48.17625482
70,18,12,0,67,22,11,0,12.69710776
85,15,0,0,91,9,0,0,44.94358192
91,9,0,0,90,0,10,0,51.66458324
84,15,1,0,92,8,0,0,48.18762442
84,16,0,0,91,9,0,0,50.64120556
95,5,0,0,91,0,9,0,46.32427112
93,7,0,0,91,0,9,0,49.48524338
93,7,0,0,92,0,8,0,51.27979212
86,14,0,0,91,9,0,0,47.51250297
95,5,0,0,89,0,11,0,50.35218873
86,14,0,0,91,8,1,0,48.4748351
91,9,0,0,91,0,9,0,51.76319657
86,14,0,0,92,8,0,0,48.08713144
97,3,0,0,88,0,12,0,53.45239386
87,13,0,0,92,8,0,0,46.93289893
82,18,0,0,83,17,0,0,53.06857472
86,14,0,0,90,10,0,0,42.7465494
85,15,0,0,93,0,7,0,54.76985229
86,14,0,0,90,9,1,0,47.39796539
92,8,0,0,91,0,9,0,45.97108395
88,12,0,0,74,26,0,0,53.48629547
94,4,2,0,60,17,23,0,9.795593035
87,0,13,0,66,10,24,0,9.766335285
83,4,13,0,75,6,19,0,16.5634
84,16,0,0,85,0,15,0,64.5579
93,5,2,0,64,10,26,0,12.4362
92,8,0,0,79,21,0,0,55.2731
80,0,20,0,60,10,30,0,5.83
94,1,5,0,61,26,13,0,11
85,15,0,0,83,0,17,0,62.09
83,17,0,0,85,0,15,0,59.4
93,7,0,0,97,0,2,1,50.8
89,11,0,0,84,0,16,0,61.05
86,14,0,0,83,0,17,0,61.53
87,13,0,0,83,0,17,0,53
68,2,30,0,90,10,0,0,14.7
85,15,0,0,85,0,15,0,60.78
90,10,0,0,97,0,3,0,37.58
84,16,0,0,84,0,16,0,62.8
82,18,0,0,87,0,13,0,60.1
84,16,0,0,91,0,9,0,34.4
93,7,0,0,95,1,1,3,39.5
80,20,0,0,84,0,16,0,58.4
60,10,30,0,90,9,0,1,47.1
90,10,0,0,84,0,16,0,57.3
80,20,0,0,85,0,15,0,64.3
69,1,30,0,90,10,0,0,43.1
93,7,0,0,87,0,13,0,47.3
88,12,0,0,79,19,0,2,60.1
71,0,29,0,90,1,0,9,49.1
65,5,30,0,90,9,0,1,44.6
79,21,0,0,85,0,15,0,66.5
81,19,0,0,85,0,15,0,65.8
78,22,0,0,82,0,18,0,56.8
78,22,0,0,86,0,14,0,68.9
95,5,0,0,94,6,0,0,38.4
80,0,20,0,60,9,1,30,14.3
76,24,0,0,85,0,15,0,69.52
79,21,0,0,86,0,14,0,69.53
65,5,30,0,90,10,0,0,44.43
77,23,0,0,86,0,14,0,69.6
75,25,0,0,85,0,15,0,61.43
77,23,0,0,85,0,15,0,65.11
73,27,0,0,83,0,17,0,47.34
72,0,28,0,90,0,1,9,43.4
79,21,0,0,87,0,9,4,48.8661
77,22,1,0,86,0,14,0,68.57386
78,22,0,0,87,0,13,0,69.33631
79,21,0,0,96,0,4,0,33.41854
79,21,0,0,92,0,8,0,46.30046
79,21,0,0,90,0,10,0,60.78013
79,21,0,0,88,0,12,0,63.82196
79,21,0,0,84,0,16,0,63.03385
79,21,0,0,82,0,18,0,55.82324
79,21,0,0,80,0,20,0,44.4924
79,21,0,0,76,0,24,0,29.54281
100,0,0,0,85,15,0,0,30.53339
100,0,0,0,80,20,0,0,38.79404
100,0,0,0,75,25,0,0,53.09799
100,0,0,0,70,30,0,0,40.51487
100,0,0,0,65,35,0,0,27.01884
100,0,0,0,95,0,5,0,34.82555
100,0,0,0,90,0,10,0,40.08988
100,0,0,0,85,0,15,0,56.56985
100,0,0,0,80,0,20,0,40.06909
100,0,0,0,75,0,25,0,24.52458
100,0,0,0,85,0,0,15,29.99809
100,0,0,0,80,0,0,20,42.84793
100,0,0,0,75,0,0,25,53.86265
100,0,0,0,70,0,0,30,41.59254
100,0,0,0,65,0,0,35,27.66297
93,7,0,0,93,5,2,0,42.2
89,11,0,0,78,22,0,0,69.9
81,19,0,0,84,0,16,0,68.2
92,8,0,0,93,5,2,0,43.1
88,12,0,0,78,22,0,0,71.7
90,10,0,0,77,23,0,0,69
81,19,0,0,83,0,17,0,59.4
89,11,0,0,79,21,0,0,70
