Al,Co,Cr,Cu,Fe,Ni,"Hardness, HV"
42.9,7.1,14.3,7.1,14.3,14.3,694
7,0,23.3,0,23.3,46.5,149
11.1,0,22.2,0,22.2,44.4,229
13,0,28,22,6,31,459
12,0,31,21,5,31,469
12,0,31,20,5,32,483
10,0,35,25,5,25,472
10,0,35,26,5,24,454
10,0,35,24,5,26,441
11,0,29,29,5,26,495
11,0,28,29,7,25,477
11,0,28,27,6,28,469
