Temperaing Temperature,C,Cr,Mo,Fatigue Strength (10E7 Cycles),Tensile Strength,Fracture Strength,Hardness
600,0.37,1.09,0.16,515,956,1721,317
600,0.35,0.99,0.19,530,952,1719,305
600,0.35,1.06,0.17,546,989,1828,316
600,0.33,0.99,0.18,535,973,1786,315
600,0.35,1,0.16,550,1010,1801,317
600,0.37,1.01,0.16,542,996,1759,322
600,0.38,1.07,0.16,592,1067,1725,339
600,0.34,1.05,0.16,524,974,1671,315
650,0.36,1.01,0.16,497,897,1637,286
650,0.35,1.03,0.15,491,846,1772,277
650,0.36,1.03,0.17,463,853,1622,271
650,0.36,0.99,0.16,464,847,1720,274
650,0.34,1.01,0.17,459,867,1701,288
650,0.36,0.97,0.15,489,907,1677,292
650,0.37,1.09,0.16,477,875,1684,287
650,0.35,0.99,0.19,469,870,1672,275
650,0.35,1.06,0.17,496,898,1759,290
650,0.33,0.99,0.18,467,864,1705,284
650,0.35,1,0.16,511,919,1755,290
650,0.37,1.01,0.16,490,903,1704,287
650,0.38,1.07,0.16,523,948,1724,303
650,0.34,1.05,0.16,476,891,1725,287
550,0.41,1.06,0.2,610,1139,1874,372
550,0.39,0.96,0.17,581,1141,1779,375
550,0.43,1.07,0.22,625,1203,1901,375
550,0.4,0.98,0.17,562,1160,1821,371
550,0.41,1.02,0.18,635,1199,1890,380
550,0.41,0.99,0.16,566,1150,1898,361
550,0.39,1.08,0.19,638,1202,1851,376
550,0.37,1,0.19,606,1108,1915,360
550,0.42,1.1,0.15,582,1181,1880,373
550,0.42,1.04,0.17,634,1179,1847,379
550,0.4,1.01,0.17,585,1109,1775,354
550,0.4,1.06,0.18,603,1146,1873,367
550,0.4,0.94,0.17,625,1155,1852,373
550,0.4,0.96,0.18,631,1202,1931,371
550,0.44,1.05,0.21,625,1178,1924,373
600,0.41,1.06,0.2,551,1030,1804,337
600,0.39,0.96,0.17,539,1027,1682,336
600,0.43,1.07,0.22,564,1079,1834,334
600,0.4,0.98,0.17,550,1062,1764,339
600,0.41,1.02,0.18,590,1091,1799,348
600,0.41,0.99,0.16,527,1002,1758,326
600,0.39,1.08,0.19,557,1066,1756,338
600,0.37,1,0.19,551,995,1809,324
600,0.42,1.1,0.15,583,1064,1788,340
600,0.42,1.04,0.17,570,1072,1773,343
600,0.4,1.01,0.17,543,1005,1718,324
600,0.4,1.06,0.18,543,1013,1750,328
600,0.4,0.94,0.17,563,1049,1783,338
600,0.4,0.96,0.18,577,1091,1815,335
600,0.44,1.05,0.21,578,1063,1795,338
650,0.41,1.06,0.2,490,890,1681,289
650,0.39,0.96,0.17,496,912,1601,301
650,0.43,1.07,0.22,511,971,1768,304
650,0.4,0.98,0.17,494,905,1592,294
650,0.41,1.02,0.18,517,950,1685,309
650,0.41,0.99,0.16,480,922,1665,295
650,0.39,1.08,0.19,502,924,1741,290
650,0.37,1,0.19,504,895,1724,295
650,0.42,1.1,0.15,505,938,1693,298
650,0.42,1.04,0.17,502,905,1643,291
650,0.4,1.01,0.17,496,903,1689,294
650,0.4,1.06,0.18,501,941,1652,302
650,0.4,0.94,0.17,517,933,1709,300
650,0.4,0.96,0.18,523,948,1745,300
650,0.44,1.05,0.21,516,949,1772,307
550,0.39,0.13,0,486,889,1614,290
550,0.38,0.13,0,427,847,1559,277
550,0.4,0.13,0,510,924,1641,300
550,0.4,0.09,0,451,854,1584,281
550,0.41,0.22,0,425,890,1552,289
550,0.38,0.2,0,432,804,1569,258
550,0.4,0.03,0,482,892,1619,284
600,0.39,0.13,0,435,811,1564,265
600,0.38,0.13,0,406,790,1524,255
600,0.4,0.13,0,470,844,1566,275
600,0.4,0.09,0,438,799,1547,259
600,0.41,0.22,0,404,815,1529,263
600,0.38,0.2,0,406,753,1520,238
600,0.4,0.03,0,443,814,1583,260
650,0.39,0.13,0,397,742,1537,239
650,0.38,0.13,0,385,734,1480,241
650,0.4,0.13,0,425,758,1562,246
650,0.4,0.09,0,396,715,1498,229
650,0.41,0.22,0,380,756,1503,242
650,0.38,0.2,0,363,700,1499,227
650,0.4,0.03,0,398,737,1539,235
550,0.42,0.15,0,505,936,1612,302
550,0.43,0.26,0,536,1006,1668,311
550,0.42,0.12,0,484,900,1613,298
550,0.42,0.17,0,495,922,1614,302
550,0.42,0.12,0,551,988,1666,317
550,0.45,0.1,0,477,955,1622,303
