C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest 
0.01,7.5,0.5,0,0,0,0,0,0,0,0,950,10,650,30,300
0.2,10,2.5,0.5,1,0.5,0.2,0.01,0.01,0.05,0.05,1050,60,800,150,300
