iter	RMSE
367	0.8308890044
368	0.8298975253
369	0.8287724381
370	0.8279552343
371	0.8273819144
372	0.8267540837
373	0.8260533841
374	0.8256209234
375	0.824814964
376	0.8242989914
377	0.8238905216
378	0.8232325416
379	0.8226043007
380	0.8220161309
381	0.8212478186
382	0.8208694841
383	0.8196317171
384	0.8189975933
385	0.8185794602
386	0.8182933703
387	0.8173716518
388	0.8167857797
389	0.8161412623
390	0.8153334486
391	0.8149598729
392	0.8143876864
393	0.8138312639
394	0.8131988768
395	0.8123328606
396	0.8115834259
397	0.811293999
398	0.8109195599
399	0.809969107
400	0.8094676972
401	0.8089387639
402	0.8087314615
403	0.8084467107
404	0.807903268
405	0.8071985769
406	0.8066860679
407	0.8063446466
408	0.8055055816
409	0.8044890176
410	0.8037909209
411	0.8035336531
412	0.8029591137
413	0.8025102707
414	0.8020918201
415	0.801383968
416	0.8009398833
417	0.8002856605
418	0.800020361
419	0.7995758801
420	0.7990390051
421	0.7984885797
422	0.7981157639
423	0.7975943007
424	0.7973354485
425	0.7961397791
426	0.7955648527
427	0.7949500826
428	0.7944783013
429	0.794130523
430	0.7939812286
431	0.7935595312
432	0.7929315335
433	0.7925802214
434	0.7923477468
435	0.7918327934
436	0.7913761386
437	0.7909552854
438	0.7901188224
439	0.7899003867
440	0.7896407013
441	0.7893907447
442	0.7887038399
443	0.7882036258
444	0.7874149231
445	0.7867460065
446	0.7864399003
447	0.7858291157
448	0.7854601135
449	0.7849875241
450	0.7845475921
451	0.7839601556
452	0.7836086044
453	0.7830512983
454	0.7828533097
455	0.782615946
456	0.7822486266
457	0.7818818074
458	0.7816669469
459	0.7814620449
460	0.7813243198
461	0.7809981665
462	0.7807394895
463	0.7801025742
464	0.7793975039
465	0.7787518158
466	0.7783599627
467	0.7780315264
468	0.7774320143
469	0.7765439569
470	0.7759871178
471	0.7751948353
472	0.7749734057
473	0.7743736962
474	0.7740050493
475	0.7737541758
476	0.7736131284
477	0.7730296938
478	0.7728941703
479	0.7726878469
480	0.7719535637
481	0.7717418009
482	0.7712824615
483	0.7708789063
484	0.77020123
485	0.7698748763
486	0.7695332486
487	0.7691447324
488	0.7689762069
489	0.7685485978
490	0.7681443647
491	0.767789285
492	0.7676465716
493	0.767412309
494	0.7670958585
495	0.7669452031
496	0.7666760189
497	0.7663036558
498	0.7659635137
499	0.7656540748
500	0.7655014364
501	0.7650794702
502	0.764694375
503	0.7645922878
504	0.7642821971
505	0.7641485451
506	0.7640168578
507	0.7639052678
508	0.7635373327
509	0.7634112612
510	0.7631269759
511	0.7628494819
512	0.7624896677
513	0.7622571799
514	0.761959615
515	0.7615976575
516	0.7611750203
517	0.761053784
518	0.7608077665
519	0.760665039
520	0.7603192525
521	0.7599819135
522	0.7596117331
523	0.7595384525
524	0.7593552357
525	0.7590954575
526	0.7587807218
527	0.7585877192
528	0.7584899405
529	0.7583324684
530	0.7580611352
531	0.7579516607
532	0.7574734365
533	0.7570455772
534	0.7568847584
535	0.7565645762
536	0.7564820552
537	0.7562628031
538	0.7559487205
539	0.755802974
540	0.7556732272
541	0.755562129
542	0.7552668503
543	0.7549779437
544	0.7547534277
545	0.7545504012
546	0.7543179949
547	0.7540501914
548	0.7540437839
549	0.7539599809
550	0.7537404813
551	0.7535191741
552	0.7534311536
553	0.7533626799
554	0.7530986696
555	0.7527290552
556	0.7524389329
557	0.7520966445
558	0.751847724
559	0.7517481529
560	0.7517004128
561	0.7514132896
562	0.7512820997
563	0.7510960382
564	0.7508606884
565	0.750631186
566	0.7503686626
567	0.7501917264
568	0.7501685264
569	0.750066446
570	0.7497378478
571	0.7496269434
572	0.7494880603
573	0.74939692
574	0.7491484706
575	0.7488455441
576	0.7486413738
577	0.7483321495
578	0.7482603176
579	0.7480572224
580	0.747925993
581	0.7477067391
582	0.7475102633
583	0.7473792781
584	0.7470370055
585	0.7467332783
586	0.7465014898
587	0.7462527386
588	0.7461461298
589	0.7459560557
590	0.7458890616
591	0.745676665
592	0.7455356247
593	0.7452348051
594	0.7450648178
595	0.7449327367
596	0.7448640051
597	0.7445974604
598	0.7444257305
599	0.744177869
600	0.743922414
601	0.7437852327
602	0.7436169868
603	0.7434264925
604	0.7431149178
605	0.7429372831
606	0.7428102376
607	0.7425830067
608	0.7424474402
609	0.7421412277
610	0.7420495148
611	0.7418992301
612	0.7418448539
613	0.7416900555
614	0.7415657928
615	0.7414253348
616	0.7414123094
617	0.7413092675
618	0.7411427557
619	0.7409738442
620	0.7407594346
621	0.7405114269
622	0.7403793167
623	0.7401902342
624	0.7400447897
625	0.7400096893
626	0.7398561839
627	0.7396760411
628	0.7395198036
629	0.7394542333
630	0.7392533235
631	0.739117891
632	0.738997541
633	0.738783265
634	0.7387227221
635	0.7386254607
636	0.7384940461
637	0.7381844886
638	0.7379645436
639	0.7378165205
640	0.7377923473
641	0.7375877339
642	0.7374003953
643	0.7372921443
644	0.7371942671
645	0.7370956255
646	0.7370021414
647	0.7369732999
648	0.7368583751
649	0.7366267565
650	0.7363875369
651	0.7363017938
652	0.7360738998
653	0.7359825345
654	0.7358241336
655	0.7356087359
656	0.7355173018
657	0.7352697015
658	0.735201786
659	0.7349922255
660	0.7348611339
661	0.7346970646
662	0.7345649926
663	0.7345533295
664	0.7343556685
665	0.7342739423
666	0.7340922813
667	0.7339363903
668	0.7339154898
669	0.7339053072
670	0.7338532792
671	0.7337852654
672	0.7336890425
673	0.7336185699
674	0.7333712298
675	0.7331986538
676	0.7331314087
677	0.7331277498
678	0.7330044851
679	0.7329195968
680	0.7327518949
681	0.7325808973
682	0.7325350877
683	0.7324462641
684	0.732306562
685	0.7321790801
686	0.7321142283
687	0.7320537885
688	0.7320074612
689	0.7319619748
690	0.7318803117
691	0.731840239
692	0.7317662005
693	0.7316341854
694	0.7315346496
695	0.7315322198
696	0.7314837478
697	0.7314330979
698	0.7313396429
699	0.731179159
700	0.7309785623
701	0.7309697402
702	0.7309262689
703	0.7308903702
704	0.7307722499
705	0.7306818404
706	0.7306040542
707	0.7304912655
708	0.7304782688
709	0.7303635659
710	0.7302241126
711	0.7301309898
712	0.7300872857
713	0.7300293908
714	0.7300078674
715	0.7299112651
716	0.7297630819
717	0.7296189898
718	0.7295396165
719	0.7294053478
720	0.7292803623
721	0.729120701
722	0.7290574152
723	0.7290121723
724	0.7289854841
725	0.7288817618
726	0.7287544892
727	0.7287224413
728	0.7286774574
729	0.7285958102
730	0.7285226775
731	0.7284511759
732	0.7283552431
733	0.7282338256
734	0.7281856457
735	0.72812876
736	0.727924074
737	0.7278231586
738	0.7277830808
739	0.7277361923
740	0.7276440748
741	0.7275156706
742	0.7274551234
743	0.72743018
744	0.7273922879
745	0.7272897375
746	0.7271760422
747	0.7270643853
748	0.7269237666
749	0.7267932606
750	0.7267224242
751	0.7266614432
752	0.7266400878
753	0.7265360555
754	0.7264853812
755	0.7264583229
756	0.7264572711
757	0.7263554641
758	0.7263016105
759	0.726187472
760	0.7261503157
761	0.7260412979
762	0.7260092354
763	0.7259337257
764	0.7258520868
765	0.725846798
766	0.7258344548
767	0.725794968
768	0.7257714762
769	0.7257221863
770	0.7256280011
771	0.7255156271
772	0.7254608682
773	0.7254277818
774	0.725358206
775	0.7253205107
776	0.7252269166
777	0.7251934461
778	0.7251463208
779	0.7249625145
780	0.7249072794
781	0.7248943811
782	0.7248344022
783	0.7247350664
784	0.7246032375
785	0.7245086476
786	0.7244585687
787	0.7243164311
788	0.7242538208
789	0.7241295081
790	0.724081092
791	0.7240339202
792	0.7239650251
793	0.7238774001
794	0.7238229896
795	0.7237380301
796	0.7236322915
797	0.7236049497
798	0.7235144713
799	0.7234851898
800	0.723386441
801	0.7233200226
802	0.7232641887
803	0.7232488917
804	0.7232239135
805	0.7231650674
806	0.7231599641
807	0.7230831887
808	0.7230496816
809	0.7229659101
810	0.7229407497
811	0.7229151479
812	0.7229117814
813	0.7228483618
814	0.7228061219
815	0.7227062712
816	0.7226219916
817	0.7225751007
818	0.7225188665
819	0.7223703757
820	0.7223397962
821	0.7222365124
822	0.722157749
823	0.7221525961
824	0.7220978911
825	0.722038675
826	0.7220321967
827	0.7219310058
828	0.7219075632
829	0.721827898
830	0.7217987214
831	0.7216998063
832	0.7216253037
833	0.721543523
834	0.7214940521
835	0.7214232809
836	0.7213829479
837	0.7213141106
838	0.7212881045
839	0.7212439054
840	0.7212043343
841	0.7211625804
842	0.7210643235
843	0.7209922179
844	0.7209463349
845	0.7208940121
846	0.7208251782
847	0.7207783072
848	0.7207142735
849	0.720603532
850	0.7205456624
851	0.7205400235
852	0.7205077344
853	0.7204650677
854	0.7204254098
855	0.7203712049
856	0.7203500647
857	0.7202991494
858	0.7202807014
859	0.7202772806
860	0.7202181189
861	0.720169739
862	0.7201209758
863	0.7200273219
864	0.7199465064
865	0.7198940758
866	0.7198371577
867	0.7197738938
868	0.7197043981
869	0.7196855767
870	0.7195812745
871	0.7195799532
872	0.7195623107
873	0.7195482924
874	0.7195059217
875	0.7194606076
876	0.7194229947
877	0.7193884147
878	0.7193230552
879	0.7192921575
880	0.7192053049
881	0.7191883261
882	0.7191453173
883	0.7190677109
884	0.7190090799
885	0.7189754692
886	0.7189314576
887	0.7189157603
888	0.7189002767
889	0.7188775439
890	0.7188570567
891	0.7188405357
892	0.7188226102
893	0.7188125607
894	0.7187996816
895	0.718790582
896	0.7187548289
897	0.7187392919
898	0.7187056676
899	0.7186874412
